orig_book_index	orig_chapter	orig_verse	text
41N	4	9	ואמר הוא מנ דאית לה אדנא דנשׁמע נשׁמע ܀
41N	4	10	כד הוו דינ בלחודיהונ שׁאלוהי הנונ דעמה עמ תרעסרתה מתלא הו ܀
41N	4	11	ואמר להונ ישׁוע לכונ יהיב למדע ארזא דמלכותה דאלהא לבריא דינ כל מדמ במתלא הוא ܀
41N	4	12	דכד חזינ נחזונ ולא נחזונ וכד שׁמעינ נשׁמעונ ולא נסתכלונ דלמא נתפנונ ונשׁתבקונ להונ חטהיהונ ܀
41N	4	13	ואמר להונ לא ידעינ אנתונ לה למתלא הנא ואיכנא כלהונ מתלא תדעונ ܀
41N	4	14	זרועא דזרע מלתא זרע ܀
41N	4	15	הלינ דינ דעל יד אורחא הלינ אנונ דמזדרעא בהונ מלתא ומא דשׁמעו מחדא אתא סטנא ושׁקל לה למלתא דזריעא בלבהונ ܀
41N	4	16	והנונ דעל שׁועא אזדרעו הלינ אנונ דמא דשׁמעו מלתא מחדא בחדותא מקבלינ לה ܀
41N	4	17	ולית להונ עקרא בנפשׁהונ אלא דזבנא אנונ ומא דהוא אולצנא או רדופיא מטל מלתא עגל מתכשׁלינ ܀
41N	4	18	והנונ דבית כובא מזדרעינ הלינ אנונ הנונ דשׁמעו מלתא ܀
41N	4	19	ורניא דעלמא הנא וטועיי דעותרא ושׁרכא דרגיגתא אחרניתא עאלנ חנקנ לה למלתא ודלא פארא הויא ܀
41N	4	20	והנונ דבארעא טבתא אזדרעו הלינ אנונ דשׁמעינ מלתא ומקבלינ ויהבינ פארא בתלתינ ובשׁתינ ובמאא ܀
41N	4	21	ואמר להונ דלמא אתא שׁרגא דתחית סאתא נתתסימ או תחית ערסא לא הוא דעל מנרתא נתתסימ ܀
41N	4	22	לית גיר מדמ דטשׁא דלא נתגלא ולא הוא בטושׁיא ולא מתגלא ܀
41N	4	23	אנ אנשׁ אית לה אדנא דנשׁמע נשׁמע ܀
41N	4	24	ואמר להונ חזו מנא שׁמעינ אנתונ בהי כילתא דמכילינ אנתונ מתתכיל לכונ ומתתוספ לכונ לאילינ דשׁמעינ ܀
41N	4	25	מנ דאית לה גיר נתיהב לה ומנ דלית לה אפ הו דאית לה נשׁתקל מנה ܀
41N	4	26	ואמר הוא הכנא הי מלכותא דאלהא איכ אנשׁ דנרמא זרעא בארעא ܀
41N	4	27	ונדמכ ונקומ בלליא ובאיממא וזרעא נרבא ונארכ כד הו לא ידע ܀
41N	4	28	ארעא גיר מיתיא לה לפארא ולוקדמ הוא עסבא ובתרה שׁבלא אחרית דינ חטתא משׁמליתא בשׁבלא ܀
41N	4	29	מא דשׁמנ דינ פארא מחדא אתיא מגלא דמטי חצדא ܀
41N	4	30	ואמר למנא נדמיה למלכותא דאלהא ובאינא מתלא נמתליה ܀
41N	4	31	איכ פרדתא הי דחרדלא הי דמא דאזדרעת בארעא זעוריא הי מנ כלהונ זרעונא דעל ארעא ܀
41N	4	32	ומא דאזדרעת סלקא והויא רבא מנ כלהונ ירקונא ועבדא סוכא רורבתא איכ דתשׁכח דבטללה פרחתא תשׁכנ ܀
41N	4	33	במתלא דאיכ הלינ ממלל הוא ישׁוע עמהונ מתלא איכ דמשׁכחינ הוו למשׁמע ܀
41N	4	34	ודלא מתלא לא ממלל הוא עמהונ לתלמידוהי דינ בינוהי ולהונ מפשׁק הוא כלמדמ ܀
41N	4	35	ואמר להונ בהו יומא ברמשׁא נעבר לנ לעברא ܀
41N	4	36	ושׁבקו לכנשׁא ודברוהי כד בספינתא הו וספינא אחרניתא אית הוי עמהונ ܀
41N	4	37	והות עלעלא רבתא ורוחא וגללא נפלינ הוו בספינתא וקריבא הות דתתמלא ܀
41N	4	38	הו דינ ישׁוע על בסדיא דמכ הוא בחרתה דספינתא ואתו אקימוהי ואמרינ לה רבנ לא בטיל לכ דאבדינ חננ ܀
41N	4	39	וקמ וכאא ברוחא ואמר לימא שׁלי זגיר אנת ושׁלית רוחא והוא נוחא רבא ܀
41N	4	40	ואמר להונ למנא דחולתנינ אנתונ הכנ ולמנא לית בכונ הימנותא ܀ 41 ודחלו דחלתא רבתא ואמרינ הוו חד לחד מנו כי הנא דרוחא וימא משׁתמעינ לה ܀
41N	4	41	 
41N	5	1	ואתא לעברא דימא לאתרא דגדריא ܀
41N	5	2	וכד נפק מנ ספינתא פגע בה מנ בית קבורא גברא דאית בה רוחא טנפתא ܀
41N	5	3	ועמר הוא בית קבורא ובשׁשׁלתא אנשׁ לא משׁכח הוא למאסרה ܀
41N	5	4	מטל דכל אמתי דבסוטמא ובשׁשׁלתא מתאסר הוא שׁשׁלתא מתבר הוא וסוטמא מפסק הוא ולא אנשׁ משׁכח הוא למכבשׁה ܀
41N	5	5	ובכל זבנ בלליא ובאיממא בבית קבורא ובטורא איתוהי הוא וקעא הוא ומצלפ נפשׁה בכאפא ܀
41N	5	6	כד חזא דינ לישׁוע מנ רוחקא רהט סגד לה ܀
41N	5	7	וקעא בקלא רמא ואמר מא לי ולכ ישׁוע ברה דאלהא מרימא מומא אנא לכ באלהא דלא תשׁנקני ܀
41N	5	8	אמר הוא לה גיר פוק מנ ברנשׁא רוחא טנפא ܀
41N	5	9	ושׁאלה איכנא שׁמכ אמר לה לגיונ שׁמנ מטל דסגיאא חננ ܀
41N	5	10	ובעא הוא מנה סגי דלא נשׁדריוהי לבר מנ אתרא ܀
41N	5	11	אית הוא דינ תמנ לות טורא בקרא רבתא דחזירא דרעיא ܀
41N	5	12	ובעינ הוו מנה הנונ שׁאדא ואמרינ שׁדרינ על הנונ חזירא דבהונ נעול ܀
41N	5	13	ואפס להונ ונפק רוחא הלינ טנפתא ועל בחזירא ורהטת הי בקרא לשׁקיפא ונפלת בימא איכ תרינ אלפינ ואתחנקו במיא ܀
41N	5	14	והנונ דרעינ הוו להונ ערקו ואמרו במדינתא ואפ בקוריא ונפקו למחזא מדמ דהוא ܀
41N	5	15	ואתו לות ישׁוע וחזאוהי להו דשׁאדוהי כד לבישׁ ומנכפ ויתב הו דאית הוא בה לגיונ ודחלו ܀
41N	5	16	ואשׁתעיו להונ הנונ דחזו דאיכנא הוא להו דשׁאדוהי ואפ על הנונ חזירא ܀
41N	5	17	ושׁריו בעינ מנה דנאזל לה מנ תחומהונ ܀
41N	5	18	וכד סלק לספינתא בעא הוא מנה הו דשׁאדוהי דעמה נהוא ܀
41N	5	19	ולא שׁבקה אלא אמר לה זל לביתכ לות אנשׁיכ ואשׁתעא להונ מדמ דעבד לכ מריא ודאתרחמ עליכ ܀
41N	5	20	ואזל ושׁרי מכרז בעסרת מדינתא מדמ דעבד לה ישׁוע וכלהונ תמיהינ הוו ܀
41N	5	21	וכד עבר ישׁוע בספינתא להו עברא תוב אתכנשׁו עלוהי כנשׁא סגיאא כד איתוהי על יד ימא ܀
41N	5	22	ואתא חד דשׁמה יוארשׁ מנ רבי כנושׁתא וכד חזיהי נפל לות רגלוהי ܀
41N	5	23	ובעא הוא מנה סגי ואמר לה ברתי בישׁאית עבידא תא סימ אידכ עליה ותתחלמ ותחא ܀
41N	5	24	ואזל עמה ישׁוע ודביק הוא לה כנשׁא סגיאא וחבצינ הוו לה ܀
41N	5	25	אנתתא דינ חדא דאיתיה הות במרדיתא דדמא שׁנינ תרתעסרא ܀
41N	5	26	אידא דסגי סבלת מנ אסותא סגיאא ואפקת כל מדמ דאית לה ומדמ לא אתעדרת אלא אפ יתיראית אתאלצת ܀
41N	5	27	כד שׁמעת על ישׁוע אתת בחבצא דכנשׁא מנ בסתרה קרבת ללבושׁה ܀
41N	5	28	אמרא הות גיר דאפנ ללבושׁה קרבא אנא חיא אנא ܀
41N	5	29	ומחדא יבשׁת מעינא דדמה וארגשׁת בפגרה דאתאסית מנ מחותה ܀
41N	5	30	ישׁוע דינ מחדא ידע בנפשׁה דחילא נפק מנה ואתפני לות כנשׁא ואמר מנו קרב למאני ܀
41N	5	31	ואמרינ לה תלמידוהי חזא אנת לכנשׁא דחבצינ לכ ואמר אנת מנו קרב לי ܀
41N	5	32	וחאר הוא דנחזא מנו הדא עבד ܀
41N	5	33	הי דינ אנתתא כד דחילא ורתיתא דידעת מא דהוא לה אתת נפלת קדמוהי ואמרת לה כלה שׁררא ܀
41N	5	34	הו דינ אמר לה ברתי הימנותכי אחיתכי זלי בשׁלמא והויתי חלימא מנ מחותכי ܀
41N	5	35	ועד הו ממלל אתו מנ דבית רב כנושׁתא ואמרינ דברתכ מיתת למנא מכיל מעמל אנת למלפנא ܀
41N	5	36	ישׁוע דינ שׁמע למלתא דאמרו ואמר להו רב כנושׁתא לא תדחל בלחוד הימנ ܀
41N	5	37	ולא שׁבק לאנשׁ דנאזל עמה אלא לשׁמעונ כאפא וליעקוב וליוחננ אחוהי דיעקוב ܀
41N	5	38	ואתו לביתא דהו רב כנושׁתא וחזא דרהיבינ ובכינ ומיללינ ܀
41N	5	39	ועל ואמר להונ מנא רהיבינ אנתונ ובכינ טליתא לא מיתת אלא דמכא הי ܀
41N	5	40	וגחכינ הוו עלוהי הו דינ אפק לכלהונ ודבר לאבוה דטליתא ולאמה ולהנונ דעמה ועל לאיכא דרמיא הות טליתא ܀
41N	5	41	ואחד באידה דטליתא ואמר לה טליתא קומי ܀
41N	5	42	ובר שׁעתה קמת טליתא ומהלכא הות איתיה הות גיר ברת שׁנינ תרתעסרא ומתדמרינ הוו דומרא רבא ܀ 43 ופקד אנונ סגי דלא אנשׁ נדע הדא ואמר דנתלונ לה למלעס ܀
41N	5	43	 
41N	6	1	ונפק מנ תמנ ואתא למדינתה ודביקינ הוו לה תלמידוהי ܀ 2 וכד הות שׁבתא שׁרי למלפו בכנושׁתא וסגיאא דשׁמעו אתדמרו ואמרינ הוו אימכא לה הלינ להנא ואידא הי חכמתא דאתיהבת לה דחילא דאיכ הלינ באידוהי נהוונ ܀
41N	6	2	 
41N	6	3	לא הוא הנא נגרא ברה דמרימ ואחוהי דיעקוב ודיוסא ודיהודא ודשׁמעונ ולא הא אחותה תננ לותנ ומתכשׁלינ הוו בה ܀
41N	6	4	ואמר להונ ישׁוע לית נביא דצעיר אלא אנ במדינתה ובית אחינוהי ובביתה ܀
41N	6	5	ולא משׁכח הוא דנעבד תמנ אפ לא חד חילא אלא אנ דעל כריהא קליל סמ אידה ואסי ܀
41N	6	6	ומתדמר הוא בחסירות הימנותהונ ומתכרכ הוא בקוריא כד מלפ ܀
41N	6	7	וקרא לתרעסרתה ושׁרי דנשׁדר אנונ תרינ תרינ ויהב להונ שׁולטנא על רוחא טנפתא דנפקונ ܀
41N	6	8	ופקד אנונ דלא נשׁקלונ מדמ לאורחא אלא אנ שׁבטא בלחוד לא תרמלא ולא לחמא ולא נחשׁא בכיסיהונ ܀
41N	6	9	אלא נסאנונ טלרא ולא נלבשׁונ תרתינ כותינינ ܀ 10 ואמר להונ דלאינא ביתא דעאלינ אנתונ תמנ הוו עדמא דנפקינ אנתונ מנ תמנ ܀ 11 וכל מנ דלא נקבלונכונ ולא נשׁמעונכונ מא דנפקינ אנתונ מנ תמנ פצו חלא דבתחתיא דרגליכונ לסהדותהונ ואמינ אמר אנא לכונ דנהוא ניח לסדומ ולעמורא ביומא דדינא או למדינתא הי ܀
41N	6	10	 
41N	6	11	 
41N	6	12	ונפקו הוו ואכרזו דנתובונ ܀
41N	6	13	ושׁאדא סגיאא מפקינ הוו ומשׁחינ הוו במשׁחא כריהא סגיאא ומאסינ הוו ܀
41N	6	14	ושׁמע הרודס מלכא על ישׁוע אתידע הוא לה גיר שׁמה ואמר הוא יוחננ מעמדנא קמ מנ בית מיתא מטל הנא חילא מסתערינ בה ܀
41N	6	15	אחרנא אמרינ הוו דאליא הו ואחרנא דנביא הו איכ חד מנ נביא ܀
41N	6	16	כד שׁמע דינ הרודס אמר יוחננ הו דאנא פסקת רשׁה הו קמ מנ בית מיתא ܀
41N	6	17	הו גיר הרודס שׁדר הוא אחדה ליוחננ ואסרה בית אסירא מטל הרודיא אנתת פיליפוס אחוהי הי דנסב ܀
41N	6	18	אמר הוא גיר יוחננ להרודס דלא שׁליט לכ דתסב אנתת אחוכ ܀
41N	6	19	הי דינ הרודיא לחימא הות לה וצבינ הות למקטלה ולא משׁכחא הות ܀
41N	6	20	הרודס גיר דחל הוא מנ יוחננ על דידע הוא דגברא הו זדיקא וקדישׁא ומנטר הוא לה וסגיאתא שׁמע הוא לה ועבד ובסימאית שׁמע הוא לה ܀
41N	6	21	והוא יומא ידיעא כד הרודס בבית ילדה חשׁמיתא עבד הוא לרורבנוהי ולכילירכא ולרשׁא דגלילא ܀
41N	6	22	ועלת ברתה דהרודיא רקדת ושׁפרת לה להרודס ולאילינ דסמיכינ עמה ואמר מלכא לטליתא שׁאלי מני מדמ דצביא אנתי ואתל לכי ܀
41N	6	23	וימא לה דמדמ דתשׁאלינ אתל לכי עדמא לפלגה דמלכותי ܀
41N	6	24	הי דינ נפקת ואמרא לאמה מנא אשׁאליוהי אמרא לה רשׁה דיוחננ מעמדנא ܀
41N	6	25	ומחדא עלת בבטילותא לות מלכא ואמרא לה צביא אנא בהדא שׁעתא דתתל לי על פינכא רשׁה דיוחננ מעמדנא ܀
41N	6	26	וכרית לה סגי למלכא מטל דינ מומתא ומטל סמיכא לא צבא דנגלזיה ܀
41N	6	27	אלא מחדא שׁדר מלכא אספוקלטרא ופקד דניתא רשׁה דיוחננ ואזל פסקה רשׁה דיוחננ בית אסירא ܀
41N	6	28	ואיתי בפינכא ויהב לטליתא והי טליתא יהבת לאמה ܀
41N	6	29	ושׁמעו תלמידוהי ואתו שׁקלו שׁלדה וסמו בבית קבורא ܀
41N	6	30	ואתכנשׁו שׁליחא לות ישׁוע ואמרו לה כל מא דעבדו וכל מא דאלפו ܀
41N	6	31	ואמר להונ תו לכונ נאזל לדברא בלחודינ ואתתניחו קליל אית הוו גיר סגיאא דאזלינ ואתינ ולית הוא להונ אתרא אפ לא למאכל ܀
41N	6	32	ואזלו לאתרא חורבא בספינתא בלחודיהונ ܀
41N	6	33	וחזו אנונ סגיאא כד אזלינ ואשׁתודעו אנונ וביבשׁא רהטו מנ כלהינ מדינתא קדמוהי לתמנ ܀
41N	6	34	ונפק ישׁוע חזא כנשׁא סגיאא ואתרחמ עליהונ דדמינ הוו לערבא דלית להונ רעיא ושׁרי הוא למלפו אנונ סגיאתא ܀
41N	6	35	וכד הוא עדנא סגיאא קרבו לותה תלמידוהי ואמרינ לה דהנא אתרא חורבא הו ועדנא סגי ܀
41N	6	36	שׁרי אנונ דנאזלונ לאגורסא דחדרינ ולקוריא ונזבנונ להונ לחמא לית להונ גיר מדמ למאכל ܀
41N	6	37	הו דינ אמר להונ הבו להונ אנתונ למלעס אמרינ לה נאזל נזבנ דמאתינ דינרינ לחמא ונתל להונ לעסינ ܀
41N	6	38	הו דינ אמר להונ זלו חזו כמא לחמינ אית לכונ הרכא וכד חזו אמרינ לה חמשׁא לחמינ ותרינ נונינ ܀
41N	6	39	ופקד להונ דנסמכונ לכלנשׁ סמכינ סמכינ על עסבא ܀
41N	6	40	ואסתמכו סמכינ סמכינ דמאא מאא ודחמשׁינ חמשׁינ ܀
41N	6	41	ונסב הנונ חמשׁא לחמינ ותרינ נונינ וחר בשׁמיא וברכ וקצא לחמא ויהב לתלמידוהי דנסימונ להונ והנונ תרינ נונינ פלגו לכלהונ ܀
41N	6	42	ואכלו כלהונ וסבעו ܀
41N	6	43	ושׁקלו קציא תרעסר קופינינ כד מלינ ומנ נונא ܀
41N	6	44	איתיהונ הוו דינ דאכלו לחמא חמשׁא אלפינ גברינ ܀
41N	6	45	ומחדא אלצ לתלמידוהי דנסקונ לספינתא ונאזלונ קדמוהי לעברא לבית צידא עד שׁרא הו לכנשׁא ܀
41N	6	46	וכד שׁרא אנונ אזל לטורא למצליו ܀
41N	6	47	כד הוא דינ רמשׁא ספינתא איתיה הות מצעת ימא והו בלחודוהי על ארעא ܀
41N	6	48	וחזא אנונ דמשׁתנקינ כד רדינ רוחא גיר לוקבלהונ הות ובמטרתא רביעיתא דלליא אתא לותהונ ישׁוע כד מהלכ על מיא וצבא הוא דנעבר אנונ ܀
41N	6	49	הנונ דינ חזאוהי דמהלכ על מיא וסברו להונ דחזוא הו דגלא וקעו ܀
41N	6	50	כלהונ גיר חזאוהי ודחלו ובר שׁעתה מלל עמהונ ואמר להונ אתלבבו אנא אנא לא תדחלונ ܀
41N	6	51	וסלק לותהונ לספינתא ושׁלית רוחא וטב מתדמרינ הוו ותהירינ בנפשׁהונ ܀
41N	6	52	לא גיר אסתכלו הוו מנ לחמא הו מטל דלבהונ מעבי הוא ܀
41N	6	53	וכד עברו עברא אתו לארעא דגנסר ܀
41N	6	54	וכד נפקו מנ ספינתא בר שׁעתה אסתכלוהי אנשׁי אתרא ܀
41N	6	55	ורהטו בכלה ארעא הי ושׁריו למיתיו לאילינ דבישׁאית עבידינ כד שׁקילינ להונ בערסתא לאיכא דשׁמעינ הוו דאיתוהי ܀
41N	6	56	ואיכא דעאל הוא לקוריא ולמדינתא בשׁוקא סימינ הוו כריהא ובעינ הוו מנה דאפנ לכנפא דלבושׁה נקרבונ וכלהונ אילינ דקרבינ הוו לה מתאסינ הוו ܀
41N	7	1	וכנשׁו לותה פרישׁא וספרא דאתו מנ אורשׁלמ ܀
41N	7	2	וחזו אנשׁינ מנ תלמידוהי דאכלינ לחמא כד לא משׁגנ אידיהונ ואתעדלו ܀
41N	7	3	כלהונ גיר יהודיא ופרישׁא אנ הו דבטילאית לא משׁיגינ אידיהונ לא לעסינ מטל דאחידינ משׁלמנותא דקשׁישׁא ܀
41N	7	4	ומנ שׁוקא אלא עמדינ לא לעסינ וסגיאתא אחרניתא אית אילינ דקבלו דנטרונ מעמודיתא דכסא ודקסטא ודמאני נחשׁא ודערסתא ܀
41N	7	5	ושׁאלוהי ספרא ופרישׁא למנא תלמידיכ לא מהלכינ איכ משׁלמנותא דקשׁישׁא אלא כד לא משׁגנ אידיהונ אכלינ לחמא ܀
41N	7	6	הו דינ אמר להונ שׁפיר אתנבי עליכונ אשׁעיא נביא נסבי באפא איכ דכתיב דעמא הנא בספותה הו מיקר לי לבהונ דינ סגי רחיק מני ܀
41N	7	7	וסריקאית דחלינ לי כד מלפינ יולפנא דפוקדנא דבני אנשׁא ܀
41N	7	8	שׁבקתונ גיר פוקדנא דאלהא ואחידינ אנתונ משׁלמנותא דבני אנשׁא מעמודיתא דכסא ודקסטא וסגיאתא אילינ דלהלינ דמינ ܀
41N	7	9	אמר להונ שׁפיר טלמינ אנתונ פוקדנא דאלהא דתקימונ משׁלמנותכונ ܀
41N	7	10	מושׁא גיר אמר דיקר לאבוכ ולאמכ ומנ דמצחא לאבא ולאמא מותא נמות ܀
41N	7	11	אנתונ דינ אמרינ אנתונ אנ נאמר גברא לאבוהי או לאמה קורבני מדמ דמני תאתר ܀
41N	7	12	ולא שׁבקינ אנתונ לה דנעבד מדמ לאבוהי או לאמה ܀
41N	7	13	ומסלינ אנתונ מלתא דאלהא מטל משׁלמנותא דאשׁלמתונ ודדמינ להלינ סגיאתא עבדינ אנתונ ܀
41N	7	14	וקרא ישׁוע לכנשׁא כלה ואמר להונ שׁומעוני כלכונ ואסתכלו ܀
41N	7	15	לית מדמ דלבר מנ ברנשׁא הו ועאל לה דמשׁכח מסיב לה אלא מדמ דנפק מנה הו הו מסיב לבר אנשׁא ܀
41N	7	16	מנ דאית לה אדנא דנשׁמע נשׁמע ܀
41N	7	17	כד דינ על ישׁוע לביתא מנ כנשׁא שׁאלוהי תלמידוהי על מתלא הו ܀
41N	7	18	אמר להונ הכנא אפ אנתונ עטלינ אנתונ לא ידעינ אנתונ דכל מדמ דמנ לבר עאל לבר אנשׁא לא משׁכח מסיב לה ܀
41N	7	19	דלא הוא ללבה עאל אלא לכרסה ומשׁתדא בתדכיתא דמדכיא כלה מאכולתא ܀
41N	7	20	מדמ דינ דנפק מנ ברנשׁא הו הו מסיב לבר אנשׁא ܀
41N	7	21	מנ לגו גיר מנ לבא דבני אנשׁא נפקנ מחשׁבתא בישׁתא גורא זניותא גנבותא קטלא ܀
41N	7	22	עלובותא בישׁותא נכלא צחנותא עינא בישׁתא גודפא שׁבהרנותא שׁטיותא ܀
41N	7	23	הלינ כלהינ בישׁתא מנ לגו הו נפקנ ומסיבנ לה לברנשׁא ܀
41N	7	24	מנ תמנ קמ ישׁוע ואתא לתחומא דצור ודצידנ ועל לביתא חד ולא צבא הוא דאנשׁ נדע בה ולא אשׁכח דנטשׁא ܀
41N	7	25	מחדא גיר שׁמעת אנתתא חדא מטלתה דאית הות לברתה רוחא טנפתא ואתת נפלת קדמ רגלוהי ܀
41N	7	26	הי דינ אנתתא איתיה הות חנפתא מנ פוניקא דסוריא ובעיא הות מנה דנפק שׁאדא מנ ברתה ܀
41N	7	27	ואמר לה ישׁוע שׁבוקי לוקדמ דנסבעונ בניא לא הות גיר שׁפירא דנסב לחמא דבניא ונרמא לכלבא ܀
41N	7	28	הי דינ ענת ואמרא לה אינ מרי אפ כלבא מנ תחית פתורא אכלינ פרתותא דבניא ܀
41N	7	29	אמר לה ישׁוע זלי מטל הדא מלתא נפק לה שׁאדא מנ ברתכי ܀
41N	7	30	ואזלת לביתה ואשׁכחת ברתה כד רמיא בערסא ונפיק מנה שׁאדה ܀
41N	7	31	תוב נפק ישׁוע מנ תחומא דצור ודצידנ ואתא לימא דגלילא בתחומא דעסרת מדינתא ܀
41N	7	32	ואיתיו לה חרשׁא חד פאקא ובעא הוו מנה דנסימ עלוהי אידא ܀
41N	7	33	ונגדה מנ כנשׁא בלחודוהי וארמי צבעתה באדנוהי ורק וקרב ללשׁנה ܀
41N	7	34	וחר בשׁמיא ואתתנח ואמר לה אתפתח ܀
41N	7	35	ובה בשׁעתא אתפתח אדנוהי ואשׁתרי אסרא דלשׁנה ומלל פשׁיקאית ܀
41N	7	36	וזהר אנונ דלאנשׁ לא נאמרונ וכמא דהו מזהר הוא להונ הנונ יתיר מכרזינ הוו ܀ 37 ויתיראית מתדמרינ הוו ואמרינ דכל מדמ שׁפיר עבד לחרשׁא עבד דנשׁמעונ ודלא ממללינ דנמללונ ܀
41N	7	37	 
41N	8	1	בהנונ דינ יומתא כד כנשׁא סגיאא אית הוא ולא אית הוא מדמ דנאכלונ קרא לתלמידוהי ואמר להונ ܀
41N	8	2	מתרחמ אנא על כנשׁא הנא דהא תלתא יומינ קויו לותי ולית להונ מנא נאכלונ ܀
41N	8	3	ואנ הו דשׁרא אנא להונ כד צימינ לבתיהונ עיפינ באורחא אנשׁא גיר מנהונ מנ רוחקא אתיאינ ܀
41N	8	4	אמרינ לה תלמידוהי אימכא משׁכח אנשׁ הרכא בחורבא דנסבע לחמא להלינ כלהונ ܀
41N	8	5	ושׁאל אנונ הו כמא לחמינ אית לכונ אמרינ לה שׁבעא ܀
41N	8	6	ופקד לכנשׁא דנסתמכונ על ארעא ונסב הנונ שׁבעא לחמינ וברכ וקצא ויהב לתלמידוהי דנסימונ וסמו לכנשׁא ܀
41N	8	7	ואית הוו נונא קליל ואפ עליהונ ברכ ואמר דנסימונ אנונ ܀
41N	8	8	ואכלו וסבעו ושׁקלו תותרא דקציא שׁבעא אספרידינ ܀
41N	8	9	איתיהונ הוו דינ אנשׁא דאכלו איכ ארבעא אלפינ ܀
41N	8	10	ושׁרא אנונ וסלק מחדא לספינתא עמ תלמידוהי ואתא לאתרא דדלמנותא ܀
41N	8	11	ונפקו פרישׁא ושׁריו למבעא עמה ושׁאלינ הוו לה אתא מנ שׁמיא כד מנסינ לה ܀
41N	8	12	ואתתנח ברוחה ואמר מנא בעיא אתא שׁרבתא הדא אמינ אמר אנא לכונ דלא תתיהב לה אתא לשׁרבתא הדא ܀
41N	8	13	ושׁבק אנונ וסלק לספינתא ואזלו להו עברא ܀
41N	8	14	וטעו דנסבונ לחמא ואלא חדא גריצתא לית הוא עמהונ בספינתא ܀
41N	8	15	ופקד אנונ ואמר להונ חזו אזדהרו מנ חמירא דפרישׁא ומנ חמירה דהרודס ܀
41N	8	16	ומתחשׁבינ הוו חד עמ חד ואמרינ דלחמא לית לנ ܀
41N	8	17	ישׁוע דינ ידע ואמר להונ מנא רנינ אנתונ דלחמא לית לכונ לא עדמא להשׁא ידעינ אנתונ ולא מסתכלינ אנתונ עדכיל לבא קשׁיא אית לכונ ܀
41N	8	18	ועינא אית לכונ ולא חזינ אנתונ ואדנא אית לכונ ולא שׁמעינ אנתונ ולא עהדינ אנתונ ܀
41N	8	19	כד הלינ חמשׁא לחמינ קצית לחמשׁא אלפינ כמא קופינינ דקציא כד מלינ שׁקלתונ אמרינ לה תרעסר ܀
41N	8	20	אמר להונ וכד שׁבעא לארבעא אלפינ כמא אספרידינ דקציא כד מלינ שׁקלתונ אמרינ שׁבעא ܀
41N	8	21	אמר להונ איכו לא עדמא להשׁא מסתכלינ אנתונ ܀
41N	8	22	ואתא לבית צידא ואיתיו לה סמיא ובעינ הוו מנה דנקרוב לה ܀
41N	8	23	ואחד באידה דסמיא ואפקה לבר מנ קריתא ורק בעינוהי וסמ אידה ושׁאלה דמנא חזא ܀
41N	8	24	חר ואמר חזא אנא בני אנשׁא איכ אילנא דמהלכינ ܀
41N	8	25	תוב סמ אידה על עינוהי ותקנ וחזא הוא כל מדמ נהיראית ܀
41N	8	26	ושׁדרה לביתה ואמר אפ לא לקריתא תעול ולא תאמר לאנשׁ בקריתא ܀
41N	8	27	ונפק ישׁוע ותלמידוהי לקוריא דקסריא דפיליפוס ומשׁאל הוא לתלמידוהי באורחא ואמר להונ מנו אמרינ עלי אנשׁא דאיתי ܀
41N	8	28	הנונ דינ אמרו דיוחננ מעמדנא ואחרנא דאליא ואחרנא חד מנ נביא ܀
41N	8	29	אמר להונ ישׁוע אנתונ דינ מנו אמרינ אנתונ עלי דאיתי ענא שׁמעונ ואמר לה אנת הו משׁיחא ברה דאלהא חיא ܀
41N	8	30	וכאא בהונ דלאנשׁ לא נאמרונ עלוהי ܀
41N	8	31	ושׁרי הוא למלפו אנונ דעתיד הו ברה דאנשׁא דנחשׁ סגי ודנסתלא מנ קשׁישׁא ומנ רבי כהנא ומנ ספרא ונתקטל ולתלתא יומינ נקומ ܀
41N	8	32	ועינ בגלא מלתא ממלל הוא ודברה כאפא ושׁרי למכאא בה ܀
41N	8	33	הו דינ אתפני וחר בתלמידוהי וכאא בשׁמעונ ואמר זל לכ לבסתרי סטנא דלא רנא אנת דאלהא אלא דבני אנשׁא ܀
41N	8	34	וקרא ישׁוע לכנשׁא עמ תלמידוהי ואמר להונ מנ דצבא דנאתא בתרי נכפור בנפשׁה ונשׁקול זקיפה ונאתא בתרי ܀
41N	8	35	כל מנ דצבא גיר דנחא נפשׁה נובדיה וכל דנובד נפשׁה מטלתי ומטל סברתי נחיה ܀
41N	8	36	מנא גיר נתעדר ברנשׁא אנ עלמא כלה נאתר ונפשׁה נחסר ܀
41N	8	37	או מנא נתל ברנשׁא תחלופא דנפשׁה ܀ 38 כל גיר דנבהת בי ובמלי בשׁרבתא הדא חטיתא וגירתא ואפ ברה דאנשׁא נבהת בה מא דאתא בשׁובחא דאבוהי עמ מלאכוהי קדישׁא ܀
41N	8	38	 
41N	9	1	ואמר הוא להונ אמינ אמר אנא לכונ דאית אנשׁא דקימינ תננ דלא נטעמונ מותא עדמא דנחזונ מלכותה דאלהא דאתת בחילא ܀
41N	9	2	ובתר שׁתא יומינ דבר ישׁוע לכאפא וליעקוב וליוחננ ואסק אנונ לטורא רמא בלחודיהונ ואתחלפ לעניהונ ܀ 3 ומזהר הוא לבושׁה ומחור טב איכ תלגא איכנא דבני אנשׁא למחורו בארעא לא משׁכחינ ܀
41N	9	3	 
